trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
93,False,"{'a': 0.5, 'e': 0.7209999999999998}",25,0,-61.667579704250365,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.7179999999999997}",20,12,-26.299231681496707,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.7149999999999997}",20,0,-79.15683792721283,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.7119999999999997}",20,8,-34.78401391983806,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.7089999999999997}",30,13,11.78913552112429,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.7059999999999997}",30,0,-77.07784600492093,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.7029999999999997}",20,0,-78.46434945476331,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",1
100,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-77.74539376081276,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.6969999999999997}",35,9,-2.7204853993771914,"{0: 22, 1: 3, 2: 0, 3: 1, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.6939999999999997}",20,16,7.4052698424869305,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.6909999999999997}",20,0,7.180467353244784,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.6879999999999997}",20,7,2.723342607178029,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.6849999999999997}",25,0,-44.47106224427535,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.6819999999999997}",25,0,-127.34632148520629,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.6789999999999997}",20,0,-57.22868658374687,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.6759999999999997}",20,0,-71.9941560779713,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.6729999999999997}",25,0,-66.81467127551882,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.6699999999999997}",30,0,-52.915699139611085,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.6669999999999997}",30,0,-144.03134819593768,"{0: 19, 1: 1, 2: 6, 3: 3, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.6639999999999997}",20,8,-53.89085285290309,"{0: 5, 1: 3, 2: 3, 3: 1, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.6609999999999997}",20,0,-111.42794269905045,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
114,False,"{'a': 0.5, 'e': 0.6579999999999997}",20,0,-107.7323773195118,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.6549999999999997}",20,0,-52.245317117561555,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.6519999999999997}",20,0,-66.4541185850633,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.6489999999999997}",20,0,-0.6743901898087933,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.6459999999999997}",25,0,-85.76160881693025,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.6429999999999997}",20,7,-14.059126125928998,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,0,-57.32989118444693,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.6369999999999997}",25,13,-7.894142037431298,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.6339999999999997}",20,5,-57.42256250392601,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.6309999999999997}",20,0,-61.54799662738789,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.6279999999999997}",20,0,-58.85149367366517,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.6249999999999997}",25,0,-70.27093429062992,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.6219999999999997}",35,3,-7.9400648193926715,"{0: 26, 1: 3, 2: 3, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.6189999999999997}",20,0,-121.77191238934807,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
128,False,"{'a': 0.5, 'e': 0.6159999999999997}",20,8,-74.68356312165194,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
